grupo,region,municipio,trabajo,actividad,cumple
Grupo 2 Zona Sur,Suroeste,Jericó,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Ebéjico,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,NO
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Suroeste,Pueblorrico,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,San Rafael,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Granada,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Cocorná,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Bajo Cauca,Caucasia,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 1,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 1,SI
Grupo 1 Zona Norte,Oriente,San Carlos,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 2,NO
Grupo 1 Zona Norte,Oriente,San Carlos,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Bajo Cauca,Caucasia,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Bajo Cauca,Tarazá,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Guarne,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Movimiento de redes,Red Secundaria,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Bajo Cauca,Valdivia,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Oriente,Sonsón,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,NO
Grupo 1 Zona Norte,Bajo Cauca,Tarazá,Daños,Tipo 1,NO
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Bajo Cauca,Tarazá,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Nordeste y MM,Maceo,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Oriente,Abejorral,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,NO
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Yondó,Movimiento de redes,Red Secundaria,SI
Grupo 2 Zona Sur,Nordeste y MM,Yondó,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Nordeste y MM,Yondó,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Urabá,Turbo,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Oriente,Sonsón,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Carepa,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Turbo,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Suroeste,Titiribí,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Nariño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Sonsón,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Copacabana,Mantenimiento,MG - Mantenimiento General,SI
Grupo 1 Zona Norte,Oriente,Sonsón,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Oriente,Sonsón,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Titiribí,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Oriente,Nariño,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Oriente,La Ceja,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Occidente,Caicedo,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Amagá,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,La Ceja,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,La Ceja,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,La Ceja,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,El Carmen de Viboral,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Caldas,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Bajo Cauca,Caucasia,Movimiento de redes,Red Secundaria,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,Yolombó,Movimiento de redes,Red Secundaria,NO
Grupo 1 Zona Norte,Oriente,La Unión,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Nordeste y MM,Yalí,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 2 Zona Sur,Nordeste y MM,Yolombó,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,La Unión,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Nordeste y MM,Remedios,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Nordeste y MM,Yolombó,Daños,Tipo 3,NO
Grupo 1 Zona Norte,Oriente,El Retiro,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Oriente,El Retiro,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,La Unión,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,La Unión,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Cañasgordas,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Caldas,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 2 Zona Sur,Occidente,Cañasgordas,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Occidente,Uramita,Daños,Tipo 4,NO
Grupo 2 Zona Sur,Suroeste,Fredonia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Frontino,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Suroeste,Fredonia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Venecia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Giraldo,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Suroeste,Armenia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Armenia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 1 Zona Norte,Bajo Cauca,Caucasia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Suroeste,Heliconia,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Heliconia,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Montebello,Mantenimiento,MG - Mantenimiento General,SI
Grupo 2 Zona Sur,Suroeste,Santa Bárbara,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,San Jose de Uré,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Bajo Cauca,Caucasia,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Regional Norte,San Pedro de los Milagros,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,San Roque,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Carepa,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Chigorodó,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Apartadó,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Regional Norte,Campamento,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Chigorodó,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Urabá,Carepa,Movimiento de redes,Red Primaria,SI
Grupo 1 Zona Norte,Regional Norte,Campamento,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,San Pedro de los Milagros,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,San Pedro de los Milagros,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,San Pedro de los Milagros,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Belmira,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Toledo,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Regional Norte,Toledo,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,Rionegro,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Regional Norte,San Andrés de Cuerquia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,San Roque,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Occidente,Buriticá,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,San Roque,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Santo Domingo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Guadalupe,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Occidente,Santa Fe de Antioquia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Buriticá,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,Sopetrán,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Occidente,Buriticá,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,Zaragoza,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 1,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Bajo Cauca,El Bagre,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,NO
Grupo 2 Zona Sur,Nordeste y MM,Maceo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,NO
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 2,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Dabeiba,Daños,Tipo 4,SI
Grupo 2 Zona Sur,Occidente,Dabeiba,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Bello,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Turbo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Urabá,Turbo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Urabá,Turbo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Mantenimiento,MP - Mantenimiento Preventivo,NO
Grupo 2 Zona Sur,Nordeste y MM,Amalfi,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Girardota,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 2 Zona Sur,Nordeste y MM,Vegachí,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Metro Norte,Medellín,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Nare,Daños,Tipo 2,NO
Grupo 1 Zona Norte,Regional Norte,Campamento,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,Amalfi,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,ATTER - Mantenimiento Atención a Terceros,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,CPROG - Mantenimiento Correctivo Programable,SI
Grupo 1 Zona Norte,Regional Norte,Santa Rosa de Osos,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Nordeste y MM,Puerto Nare,Daños,Tipo 2,NO
Grupo 2 Zona Sur,Nordeste y MM,Puerto Nare,Daños,Tipo 3,NO
Grupo 2 Zona Sur,Nordeste y MM,Remedios,Movimiento de redes,Red Primaria,NO
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Movimiento de redes,Red Secundaria,NO
Grupo 2 Zona Sur,Nordeste y MM,Puerto Berrío,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Turbo,Mantenimiento,MP - Mantenimiento Preventivo,SI
Grupo 1 Zona Norte,Regional Norte,Don Matías,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Don Matías,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Don Matías,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Urabá,Turbo,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Regional Norte,Entrerríos,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Turbo,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Urabá,Turbo,Mantenimiento,CINME - Mantenimiento Correctivo Inmediato Daños,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Yarumal,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Valdivia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Liborina,Daños,Tipo 3,SI
Grupo 2 Zona Sur,Occidente,San Jerónimo,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Urrao,Mantenimiento,PROYE - Proyecto,NO
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 2,SI
Grupo 1 Zona Norte,Oriente,El Santuario,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Oriente,Marinilla,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Regional Norte,San Andrés de Cuerquia,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Oriente,El Santuario,Daños,Tipo 3,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Santa Rosa de Osos,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Briceño,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,San Andrés de Cuerquia,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,Santa Rosa de Osos,Mantenimiento,PROYE - Proyecto,SI
Grupo 1 Zona Norte,Regional Norte,San Andrés de Cuerquia,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Occidente,Santa Fe de Antioquia,Daños,Tipo 4,SI
Grupo 1 Zona Norte,Metro Norte,Barbosa,Mantenimiento,PROYE - Proyecto,SI
Grupo 2 Zona Sur,Metro Sur,Itagüí,Mantenimiento,MBC - Mantenimiento Basado en Condiciones,SI
